id,symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,created_at,updated_at,reportedCurrency,totalRevenue,costOfRevenue,operatingIncome,grossProfit,operatingCashflow,netIncome
71,AAPL,2020-09-30,2020-10-29,0.73,0.6987,0.0313,4.4797,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,64698000000,44945000000,14775000000,24689000000,20576000000,12673000000
25,TSLA,2020-09-30,2020-10-21,0.76,0.6042,0.1558,25.7862,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,8771000000,6708000000,809000000,2063000000,2400000000,331000000
5,GOOG,2020-09-30,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,46130000000,21117000000,11213000000,25013000000,,11247000000
321,LOW,2020-07-31,2020-08-19,3.75,2.9468,0.8032,27.2567,2021-11-30 11:22:52 UTC,2021-11-30 11:22:56 UTC,USD,27075000000,23345000000,3957000000,9304000000,7302000000,2828000000
442,FANG,2020-06-30,2020-08-03,0.15,0.0273,0.1227,449.4505,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,425000000,2560000000,-2672000000,-2135000000,324000000,-2393000000
223,AMZN,2020-06-30,2020-07-30,10.3,1.6017,8.6983,543.0667,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,88509000000,60614000000,5843000000,27895000000,20606000000,5243000000
184,FB,2020-06-30,2020-07-30,1.8,1.3719,0.4281,31.2049,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,18683000000,3829000000,5963000000,14854000000,3877000000,5178000000
175,U,2020-06-30,,,,,,2021-11-30 10:45:16 UTC,2021-11-30 10:45:16 UTC,USD,184331000,40432000,-24845000,143899000,,-27351000
72,AAPL,2020-06-30,2020-07-30,0.65,0.51,0.14,27.451,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,58988000000,41836000000,13091000000,22680000000,16271000000,11253000000
26,TSLA,2020-06-30,2020-07-22,0.436,-0.0321,0.4681,1458.2555,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,6036000000,4769000000,327000000,1267000000,964000000,104000000
6,GOOG,2020-06-30,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,38297000000,18553000000,6383000000,19744000000,,6959000000
322,LOW,2020-05-01,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,19465000000,17684000000,1991000000,6513000000,4450000000,1337000000
340,LOW,2020-04-30,2020-05-20,1.77,1.3162,0.4538,34.478,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
443,FANG,2020-03-31,2020-05-04,1.45,1.295,0.155,11.9691,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,899000000,1035000000,-802000000,-136000000,849000000,-272000000
224,AMZN,2020-03-31,2020-04-30,5.01,6.2489,-1.2389,-19.8259,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,75050000000,52431000000,3989000000,22619000000,3064000000,2535000000
185,FB,2020-03-31,2020-04-29,1.71,1.7036,0.0064,0.3757,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,17734000000,3459000000,5893000000,14275000000,11001000000,4902000000
176,U,2020-03-31,,,,,,2021-11-30 10:45:16 UTC,2021-11-30 10:45:16 UTC,USD,166994000,31868000,-27437000,135126000,,-26736000
73,AAPL,2020-03-31,2020-04-30,0.64,0.56,0.08,14.2857,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,57556000000,40895000000,12853000000,22370000000,13311000000,11249000000
27,TSLA,2020-03-31,2020-04-29,0.2281,-0.0415,0.2696,649.6386,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,5985000000,4751000000,283000000,1234000000,-440000000,16000000
7,GOOG,2020-03-31,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,41159000000,18982000000,7977000000,22177000000,,6836000000
323,LOW,2020-01-31,2020-02-26,0.94,0.9144,0.0256,2.7997,2021-11-30 11:22:52 UTC,2021-11-30 11:22:56 UTC,USD,15843000000,15069000000,958000000,4981000000,185000000,510000000
444,FANG,2019-12-31,2020-02-18,1.93,1.8229,0.1071,5.8753,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,1104000000,827000000,-384000000,1104000000,887000000,-487000000
225,AMZN,2019-12-31,2020-01-30,6.47,3.9736,2.4964,62.8246,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,87437000000,75900000000,3879000000,87437000000,19659000000,3268000000
186,FB,2019-12-31,2020-01-29,2.56,2.5688,-0.0088,-0.3426,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,20966000000,3491000000,8858000000,17475000000,9083000000,7349000000
177,U,2019-12-31,,,,,,2021-11-30 10:45:16 UTC,2021-11-30 10:45:16 UTC,USD,158071000,29995000,-48580000,128076000,,-50579000
74,AAPL,2019-12-31,2020-01-28,1.25,1.14,0.11,9.6491,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,91034000000,61799000000,25569000000,35217000000,30516000000,22236000000
28,TSLA,2019-12-31,2020-01-29,0.4128,0.3506,0.0622,17.741,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,7384000000,5993000000,359000000,1391000000,1425000000,105000000
8,GOOG,2019-12-31,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,45569000000,21020000000,9266000000,24855000000,,10671000000
324,LOW,2019-11-01,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,17206000000,15830000000,1558000000,5640000000,528000000,1049000000
341,LOW,2019-10-31,2019-11-20,1.41,1.3517,0.0583,4.3131,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
445,FANG,2019-09-30,2019-11-05,1.47,1.7125,-0.2425,-14.1606,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,975000000,20000000,349000000,955000000,809000000,368000000
226,AMZN,2019-09-30,2019-10-24,4.23,4.4899,-0.2599,-5.7885,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,69585000000,50011000000,3157000000,19574000000,7892000000,2134000000
187,FB,2019-09-30,2019-10-30,2.12,1.8785,0.2415,12.856,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,17648000000,3155000000,7185000000,14493000000,9307000000,6091000000
178,U,2019-09-30,,,,,,2021-11-30 10:45:16 UTC,2021-11-30 10:45:16 UTC,USD,130943000,26451000,-41732000,104492000,,-45549000
75,AAPL,2019-09-30,2019-10-30,0.76,0.71,0.05,7.0423,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,64040000000,44305000000,15625000000,24313000000,19910000000,13686000000
29,TSLA,2019-09-30,2019-10-23,0.372,-0.0463,0.4183,903.4557,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,6303000000,5112000000,261000000,1191000000,756000000,143000000
9,GOOG,2019-09-30,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,40503000000,17568000000,9177000000,22935000000,,7068000000
325,LOW,2019-08-02,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,20810000000,18611000000,2381000000,6740000000,1446000000,1676000000
342,LOW,2019-07-31,2019-08-21,2.15,2.004,0.146,7.2854,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
446,FANG,2019-06-30,2019-08-06,1.7,1.7531,-0.0531,-3.0289,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,1021000000,25000000,411000000,996000000,666000000,349000000
227,AMZN,2019-06-30,2019-07-25,5.22,5.5432,-0.3232,-5.8306,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,63021000000,44300000000,3084000000,18721000000,9118000000,2625000000
188,FB,2019-06-30,2019-07-24,1.99,1.875,0.115,6.1333,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,16883000000,3307000000,4626000000,13576000000,8616000000,2616000000
76,AAPL,2019-06-30,2019-07-30,0.55,0.53,0.02,3.7736,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,52943000000,38008000000,11544000000,20227000000,11636000000,10044000000
30,TSLA,2019-06-30,2019-07-24,-0.224,-0.0794,-0.1446,-182.1159,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,6350000000,5429000000,-167000000,921000000,864000000,-408000000
10,GOOG,2019-06-30,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,39045000000,17296000000,9180000000,21749000000,,9947000000
326,LOW,2019-05-03,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,17572000000,16324000000,1417000000,5581000000,2137000000,1046000000
343,LOW,2019-04-30,2019-05-22,1.22,1.329,-0.109,-8.2017,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
447,FANG,2019-03-31,2019-05-07,1.39,1.3469,0.0431,3.1999,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,864000000,29000000,319000000,585000000,377000000,10000000
228,AMZN,2019-03-31,2019-04-25,7.09,4.6755,2.4145,51.6415,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,59339000000,38757000000,4420000000,20582000000,1846000000,3561000000
